transaction_id,region,store_id,latitude,longitude,date,transaction_time,shift,day_of_week,season,sales,product_category,product_sku,quantity,promotion,weather,store_size,staff_count,customer_type,payment_method
T-1,Este,S-34,19.676637,-99.212268,12/14/2024,17:56:00,tarde,saturday,invierno,12.37,Reposteria,Croissant,1,No,lluvioso,grande,14,Nuevo,Tarjeta
T-2,Este,S-34,19.676637,-99.212268,4/1/2024,12:55:00,tarde,monday,primavera,78.04,Reposteria,Donut,5,No,lluvioso,grande,14,Nuevo,Tarjeta
T-3,Este,S-34,19.676637,-99.212268,1/1/2024,15:01:00,tarde,monday,invierno,46.34,Snacks Salados,Pretzels,2,No,frio,grande,14,Nuevo,Tarjeta
T-4,Norte,S-5,25.312026,-100.641144,3/6/2024,16:10:00,tarde,wednesday,primavera,57.16,Tes,Te Negro,4,No,lluvioso,grande,14,Nuevo,Digital
T-5,Norte,S-5,25.312026,-100.641144,12/9/2024,15:57:00,tarde,monday,invierno,10.88,Cafes,Latte,1,No,lluvioso,grande,14,Nuevo,Digital
T-6,Norte,S-5,25.312026,-100.641144,4/27/2024,6:55:00,maÃ±ana,saturday,primavera,21.43,Cafes,Latte,3,No,lluvioso,grande,14,Nuevo,Digital
T-7,Norte,S-5,25.312026,-100.641144,8/30/2024,9:51:00,maÃ±ana,friday,verano,8.54,Cafes,Latte,1,No,soleado,grande,14,Nuevo,Digital
T-8,Norte,S-5,25.312026,-100.641144,1/28/2024,17:06:00,tarde,sunday,invierno,6.9,Cafes,Espresso,1,No,frio,grande,14,Nuevo,Digital
T-9,Sur,S-18,18.031133,-92.683976,2/8/2024,16:06:00,tarde,thursday,invierno,14.26,Tes,Te Negro,1,No,frio,mediana,8,Nuevo,Tarjeta
T-10,Sur,S-18,18.031133,-92.683976,9/5/2024,15:57:00,tarde,thursday,otoÃ±o,51.36,Cafes,Latte,4,No,soleado,mediana,8,Nuevo,Tarjeta
T-11,Norte,S-10,25.98204,-100.109054,4/21/2024,18:47:00,noche,sunday,primavera,54.11,Cafes,Americano,4,No,lluvioso,grande,13,Recurrente,Efectivo
T-12,Norte,S-10,25.98204,-100.109054,2/11/2024,18:38:00,noche,sunday,invierno,93.42,Reposteria,Muffin,4,No,frio,grande,13,Recurrente,Efectivo
T-13,Norte,S-10,25.98204,-100.109054,1/21/2024,15:42:00,tarde,sunday,invierno,47.81,Snacks Salados,Chips,3,No,lluvioso,grande,13,Recurrente,Efectivo
T-14,Norte,S-1,25.375665,-100.12286,2/7/2024,16:16:00,tarde,wednesday,invierno,24.73,Snacks Salados,Chips,2,No,frio,grande,14,Nuevo,Tarjeta
T-15,Norte,S-1,25.375665,-100.12286,9/27/2024,10:19:00,maÃ±ana,friday,otoÃ±o,34.82,Snacks Salados,Chips,3,No,soleado,grande,14,Nuevo,Tarjeta
T-16,Oeste,S-46,20.893363,-103.411872,12/17/2024,14:32:00,tarde,tuesday,invierno,13.29,Cafes,Latte,1,No,lluvioso,pequeña,5,Nuevo,Tarjeta
T-17,Oeste,S-46,20.893363,-103.411872,3/7/2024,14:10:00,tarde,thursday,primavera,34.51,Tes,Te Chai,6,Si,lluvioso,pequeña,5,Nuevo,Tarjeta
T-18,Oeste,S-38,20.991338,-103.382519,8/8/2024,8:23:00,maÃ±ana,thursday,verano,41.23,Reposteria,Muffin,3,No,soleado,mediana,11,Nuevo,Digital
T-19,Oeste,S-38,20.991338,-103.382519,7/27/2024,19:59:00,noche,saturday,verano,20.74,Reposteria,Muffin,2,No,soleado,mediana,11,Nuevo,Digital
T-20,Oeste,S-38,20.991338,-103.382519,5/7/2024,11:06:00,maÃ±ana,tuesday,primavera,47.55,Reposteria,Croissant,2,No,lluvioso,mediana,11,Nuevo,Digital
T-21,Norte,S-2,25.482513,-100.60447,7/23/2024,6:49:00,maÃ±ana,tuesday,verano,74.06,Cafes,Americano,5,No,soleado,grande,15,Nuevo,Digital
T-22,Norte,S-12,25.508897,-100.543849,1/20/2024,9:22:00,maÃ±ana,saturday,invierno,10.77,Cafes,Americano,1,No,lluvioso,mediana,10,Recurrente,Digital
T-23,Norte,S-12,25.508897,-100.543849,8/11/2024,10:43:00,maÃ±ana,sunday,verano,22.1,Reposteria,Donut,2,No,soleado,mediana,10,Recurrente,Digital
