Fecha,Ventas
1/1/2020,215
2/1/2020,220
3/1/2020,240
4/1/2020,250
5/1/2020,260
6/1/2020,300
7/1/2020,310
8/1/2020,305
9/1/2020,280
10/1/2020,270
11/1/2020,260
12/1/2020,290
1/1/2021,225
2/1/2021,230
3/1/2021,255
4/1/2021,265
5/1/2021,275
6/1/2021,320
7/1/2021,330
8/1/2021,325
9/1/2021,295
10/1/2021,285
11/1/2021,275
12/1/2021,310
1/1/2022,240
2/1/2022,245
3/1/2022,270
4/1/2022,285
5/1/2022,295
6/1/2022,345
7/1/2022,355
8/1/2022,350
9/1/2022,315
10/1/2022,305
11/1/2022,290
12/1/2022,335
1/1/2023,260
2/1/2023,265
3/1/2023,290
4/1/2023,305
5/1/2023,315
6/1/2023,365
7/1/2023,375
8/1/2023,370
9/1/2023,335
10/1/2023,325
11/1/2023,310
12/1/2023,350
1/1/2024,280
2/1/2024,285
3/1/2024,310
4/1/2024,325
5/1/2024,340
6/1/2024,390
7/1/2024,400
8/1/2024,395
9/1/2024,360
10/1/2024,350
11/1/2024,335
12/1/2024,380
