CustomerID,Age,Income,Tenure,Education,Industry,Geographic Location,Cohort
1,56,52752.67735,3,Master,Technology,Europe,8/31/2023
2,69,55297.36435,6,Bachelor,Technology,South America,8/31/2021
3,46,57978.75338,3,Bachelor,Finance,Europe,5/31/2019
4,32,60445.2669,3,High School,Education,South America,2/28/2021
5,60,57741.87093,5,Bachelor,Entertainment,Asia,10/31/2018
6,25,57132.40462,3,Master,Healthcare,North America,6/30/2022
7,38,41393.693,12,High School,Education,Australia,6/30/2018
8,56,39788.83588,2,Bachelor,Finance,Asia,6/30/2018
9,36,61135.47374,3,High School,Finance,South America,4/30/2022
10,40,53651.84766,4,Master,Technology,Asia,3/31/2019
11,28,62303.68609,9,Bachelor,Education,Australia,8/31/2023
12,28,24390.84267,5,Master,Technology,North America,9/30/2022
13,41,42488.20426,3,Bachelor,Healthcare,Australia,8/31/2022
14,53,78605.28353,3,High School,Technology,South America,7/31/2018
15,57,58287.99729,4,High School,Healthcare,Australia,3/31/2022
16,41,54433.25676,4,High School,Finance,Asia,10/31/2022
17,20,60618.8655,7,High School,Technology,Europe,4/30/2023
18,39,83126.75789,6,Bachelor,Technology,Asia,2/29/2020
19,19,79970.74313,3,High School,Entertainment,South America,10/31/2022
20,41,26307.18864,6,Bachelor,Finance,North America,7/31/2020
21,61,31842.48261,6,Bachelor,Entertainment,Australia,6/30/2023
22,47,25798.84017,4,Bachelor,Healthcare,North America,1/31/2019
23,55,38793.38167,7,Master,Healthcare,South America,6/30/2019
24,19,50823.78948,4,Bachelor,Finance,Australia,1/31/2019
25,38,53630.22716,7,PhD,Healthcare,Asia,12/31/2019
26,50,27042.81885,3,High School,Finance,Asia,9/30/2022
27,29,21989.7226,4,Bachelor,Healthcare,South America,5/31/2020
28,39,38528.1292,7,Bachelor,Education,Australia,8/31/2022
29,61,63742.56898,8,Bachelor,Technology,Asia,6/30/2022
30,42,66355.44368,2,Bachelor,Education,South America,5/31/2018
31,66,75587.37289,9,Bachelor,Finance,South America,11/30/2020
32,44,49515.04624,6,Bachelor,Finance,North America,7/31/2019
33,59,62422.30236,4,Bachelor,Education,Asia,7/31/2022
34,45,65148.42442,7,PhD,Technology,Australia,9/30/2023
35,33,42547.11451,2,PhD,Technology,Asia,8/31/2021
36,32,55817.67322,2,Bachelor,Entertainment,Asia,2/28/2021
37,64,59880.57689,3,High School,Healthcare,Asia,2/28/2023
38,68,36362.63574,5,Master,Entertainment,South America,10/31/2019
39,61,74631.44257,7,PhD,Technology,Europe,4/30/2021
40,69,49417.81576,4,High School,Education,Europe,2/29/2020
41,20,51305.52842,4,Bachelor,Healthcare,North America,5/31/2018
42,54,35789.8793,5,PhD,Education,Asia,6/30/2022
43,68,38308.60706,5,Master,Entertainment,Europe,1/31/2022
44,24,17052.28099,4,High School,Finance,North America,3/31/2018
45,38,50827.33815,5,Bachelor,Education,South America,2/28/2021
46,26,87585.33814,6,PhD,Entertainment,Asia,2/28/2019
47,56,34720.70828,5,Master,Entertainment,Australia,11/30/2021
48,35,94642.95392,7,Master,Entertainment,South America,2/28/2019
49,21,71213.76894,8,Master,Finance,North America,2/28/2021
50,42,42896.16829,4,High School,Finance,South America,4/30/2023
51,31,50408.97057,5,Master,Finance,Australia,8/31/2021
52,67,47973.49538,6,High School,Healthcare,South America,10/31/2023
53,26,75592.4596,9,PhD,Finance,North America,5/31/2023
54,43,57755.23595,6,Bachelor,Finance,Australia,1/31/2020
55,19,67729.61073,0,Master,Finance,Australia,4/30/2019
56,37,55372.57768,4,High School,Education,South America,3/31/2019
57,45,48320.41219,2,Bachelor,Finance,Australia,3/31/2018
58,64,54896.35048,6,High School,Healthcare,South America,7/31/2023
59,24,43895.83649,9,Bachelor,Entertainment,Asia,1/31/2021
60,61,28216.93935,0,Master,Education,Australia,7/31/2022
61,25,62205.32864,3,Master,Technology,South America,2/28/2021
62,64,27482.53327,0,Bachelor,Finance,Asia,3/31/2023
63,52,45967.48735,8,High School,Entertainment,Australia,1/31/2018
64,31,43402.03569,2,PhD,Entertainment,Asia,11/30/2023
65,34,59650.30897,4,Master,Education,Australia,7/31/2019
66,53,73470.56877,4,Master,Technology,North America,4/30/2022
67,67,68074.55971,5,Master,Healthcare,North America,6/30/2020
68,57,60086.37528,4,Master,Entertainment,South America,7/31/2022
69,21,40551.92532,3,Bachelor,Entertainment,Europe,2/28/2019
70,19,47247.9627,2,Master,Entertainment,North America,1/31/2019
71,23,45060.89439,8,Bachelor,Entertainment,Europe,3/31/2020
72,59,42945.7783,4,Master,Education,Asia,9/30/2018
73,21,43963.23337,5,Master,Technology,Asia,5/31/2021
74,46,43562.92947,5,High School,Entertainment,Europe,12/31/2021
75,35,42898.60711,7,Bachelor,Healthcare,South America,12/31/2018
76,43,64278.24527,5,High School,Healthcare,Australia,10/31/2018
77,61,34180.44667,8,High School,Finance,Europe,6/30/2018
78,51,39057.88847,5,Bachelor,Entertainment,Europe,10/31/2020
79,27,26248.89918,4,Master,Entertainment,Europe,4/30/2022
80,53,71232.24204,6,High School,Entertainment,Europe,5/31/2021
81,31,38052.45562,5,Bachelor,Entertainment,Europe,6/30/2018
82,48,59911.62848,1,PhD,Entertainment,South America,2/28/2018
83,65,57129.7829,7,Master,Healthcare,North America,3/31/2019
84,32,69782.57932,4,Bachelor,Technology,Australia,5/31/2019
85,25,46849.74952,4,Master,Technology,North America,4/30/2019
86,31,35786.90319,4,Bachelor,Finance,Europe,4/30/2020
87,40,26663.75036,6,High School,Healthcare,North America,12/31/2023
88,57,8230.465328,6,High School,Entertainment,South America,10/31/2018
89,38,52420.29839,4,High School,Technology,Asia,10/31/2018
90,33,61632.08859,5,Bachelor,Education,North America,10/31/2018
91,62,57075.32158,4,PhD,Education,Australia,4/30/2020
92,35,27053.53545,4,Master,Education,South America,12/31/2019
93,64,65582.39218,8,Bachelor,Entertainment,Asia,7/31/2019
94,41,39526.75958,4,Bachelor,Entertainment,South America,8/31/2023
95,43,36396.44759,7,High School,Finance,Europe,8/31/2022
96,42,39190.51647,7,Master,Finance,Asia,7/31/2023
97,62,51176.13384,9,Master,Finance,Australia,6/30/2021
98,58,27729.47643,6,High School,Education,Asia,12/31/2018
99,46,49444.46129,5,High School,Entertainment,Australia,6/30/2019
100,32,56441.72368,10,Bachelor,Education,Europe,11/30/2019
101,62,66609.85844,8,Bachelor,Finance,Australia,6/30/2018
102,18,52639.34986,5,Bachelor,Entertainment,South America,5/31/2022
103,42,29905.57253,6,Bachelor,Healthcare,North America,6/30/2021
104,24,52233.35341,1,Bachelor,Technology,South America,6/30/2023
105,26,34096.12589,10,High School,Technology,South America,6/30/2020
106,41,33230.82265,10,Bachelor,Finance,Asia,9/30/2018
107,18,29559.44595,3,Bachelor,Education,Europe,6/30/2021
108,61,21331.1948,6,Master,Healthcare,North America,10/31/2020
109,25,41492.55248,8,PhD,Entertainment,Australia,4/30/2021
110,41,66933.33115,1,Master,Education,Asia,5/31/2019
111,28,83847.26023,7,Master,Finance,Europe,5/31/2020
112,68,41396.22262,6,Bachelor,Education,North America,2/28/2022
113,34,66291.5829,5,Bachelor,Finance,South America,1/31/2022
114,25,44081.26523,5,PhD,Technology,Europe,1/31/2023
115,52,25238.96421,8,High School,Technology,Europe,10/31/2021
116,52,60514.13392,2,Bachelor,Education,Europe,10/31/2021
117,50,53522.2113,5,Bachelor,Healthcare,South America,5/31/2019
118,22,77270.29412,5,Bachelor,Entertainment,Australia,6/30/2023
119,59,26979.82277,3,High School,Finance,Asia,5/31/2018
120,56,91940.49063,5,Bachelor,Entertainment,Australia,6/30/2022
121,58,73875.75985,4,Master,Technology,North America,4/30/2019
122,45,49731.1464,3,Bachelor,Healthcare,Asia,7/31/2018
123,24,45520.43312,8,Master,Healthcare,North America,8/31/2018
124,26,39262.85197,4,Bachelor,Entertainment,South America,12/31/2023
125,25,51645.98959,4,PhD,Technology,Australia,2/28/2021
126,29,47240.95767,2,Bachelor,Entertainment,Europe,6/30/2022
127,51,57706.9312,5,Bachelor,Education,Asia,3/31/2019
128,50,45584.50008,6,High School,Healthcare,Europe,2/28/2022
129,65,71224.45537,4,High School,Healthcare,North America,8/31/2022
130,40,51875.69047,4,Bachelor,Education,Europe,9/30/2018
131,41,46147.74458,1,Bachelor,Technology,Europe,8/31/2018
132,54,65364.29873,3,Bachelor,Healthcare,South America,7/31/2019
133,52,25662.14555,5,High School,Finance,South America,3/31/2022
134,61,55114.82528,4,Master,Finance,Australia,12/31/2023
135,57,50383.57005,5,Master,Technology,North America,9/30/2022
136,39,28837.24204,7,High School,Education,South America,8/31/2023
137,44,24372.45081,8,Bachelor,Entertainment,South America,7/31/2020
138,52,65155.17504,4,Master,Technology,Australia,3/31/2018
139,18,64441.86036,6,Bachelor,Entertainment,Asia,7/31/2021
140,52,52588.37644,2,Bachelor,Technology,Australia,5/31/2020
141,54,75749.86665,7,Bachelor,Finance,Europe,10/31/2018
142,64,56614.52273,3,High School,Education,Europe,12/31/2018
143,31,68747.07979,9,Bachelor,Finance,South America,10/31/2021
144,20,56304.86881,3,High School,Education,South America,6/30/2020
145,18,45862.85652,5,Bachelor,Entertainment,Australia,8/31/2020
146,22,34137.03123,3,High School,Technology,Australia,11/30/2021
147,43,40948.45618,7,PhD,Healthcare,North America,3/31/2023
148,31,46143.16593,3,Bachelor,Healthcare,Europe,2/29/2020
149,56,70447.29653,6,High School,Education,Australia,3/31/2018
150,44,61548.79338,6,Bachelor,Education,Asia,11/30/2019
151,26,54954.78602,3,High School,Finance,North America,2/28/2022
152,32,63050.14861,2,Bachelor,Healthcare,Australia,12/31/2020
153,32,57910.75574,4,Bachelor,Finance,South America,1/31/2019
154,43,53929.06417,8,High School,Entertainment,Australia,5/31/2020
155,59,27520.10898,5,High School,Healthcare,South America,2/28/2021
156,30,67087.36359,10,Bachelor,Entertainment,South America,5/31/2018
157,68,43122.32229,4,High School,Technology,Europe,8/31/2019
158,49,66328.10416,1,Master,Finance,Europe,2/28/2019
159,56,67778.15437,4,Bachelor,Education,Australia,8/31/2018
160,66,39949.4121,7,Bachelor,Healthcare,Australia,12/31/2021
161,69,64245.74121,7,Bachelor,Finance,Asia,1/31/2019
162,49,44585.18781,6,Bachelor,Education,North America,12/31/2019
163,21,44674.51509,7,PhD,Technology,North America,5/31/2023
164,47,53862.09852,7,High School,Healthcare,Australia,10/31/2020
165,54,54267.08884,2,High School,Entertainment,Europe,3/31/2022
166,40,50578.27273,2,High School,Technology,Asia,3/31/2018
167,56,29985.67977,9,High School,Education,North America,10/31/2022
168,62,48178.30041,1,High School,Healthcare,Australia,12/31/2023
169,32,84177.18092,5,Bachelor,Healthcare,Europe,7/31/2022
170,60,8239.936568,7,Bachelor,Technology,Europe,6/30/2021
171,46,63046.1066,3,PhD,Healthcare,Europe,9/30/2019
172,53,65856.874,8,High School,Education,South America,10/31/2018
173,30,29624.78421,6,Bachelor,Technology,Europe,9/30/2022
174,49,42958.4163,7,PhD,Entertainment,Australia,1/31/2020
175,24,34989.24263,5,Master,Technology,Asia,8/31/2022
176,68,77809.48066,3,Bachelor,Technology,Australia,2/28/2021
177,39,66545.379,9,Bachelor,Entertainment,Europe,1/31/2023
178,45,67271.38062,5,Master,Education,Asia,11/30/2021
179,19,51809.70839,8,Bachelor,Finance,North America,6/30/2022
180,59,69681.37925,12,High School,Finance,North America,10/31/2021
181,62,49876.45149,5,Master,Entertainment,Australia,8/31/2023
182,23,70387.36441,6,Bachelor,Education,Asia,4/30/2018
183,45,47769.55364,2,High School,Healthcare,Australia,6/30/2023
184,45,39811.37125,2,Bachelor,Entertainment,Asia,7/31/2021
185,61,77164.25399,8,Bachelor,Finance,Asia,2/28/2023
186,61,49687.26859,3,Master,Education,Australia,4/30/2018
187,37,36518.00138,5,High School,Technology,Asia,5/31/2023
188,47,36355.49154,3,Master,Education,Europe,2/28/2023
189,28,36401.3199,5,Bachelor,Education,Asia,2/28/2018
190,45,62666.63527,3,Bachelor,Finance,Asia,9/30/2018
191,42,48517.05684,4,High School,Finance,Australia,9/30/2022
192,56,84469.38464,5,Master,Healthcare,North America,9/30/2021
193,50,67792.67273,6,PhD,Healthcare,South America,6/30/2019
194,18,53857.07195,6,Bachelor,Entertainment,Asia,12/31/2021
195,44,71058.46312,8,High School,Technology,South America,6/30/2021
196,69,42567.38995,7,Bachelor,Healthcare,Asia,5/31/2021
197,30,22178.21294,6,Master,Finance,Australia,10/31/2022
198,58,35156.25414,8,High School,Education,Australia,6/30/2021
199,20,52208.11744,9,Bachelor,Entertainment,Asia,11/30/2020
200,56,46661.87792,6,Bachelor,Healthcare,Australia,2/28/2021
201,23,62366.23082,7,Bachelor,Education,Australia,7/31/2023
202,25,48130.79328,8,Bachelor,Education,Asia,5/31/2021
203,44,61220.52089,2,High School,Healthcare,North America,2/28/2022
204,26,72514.57446,3,Master,Technology,Asia,12/31/2023
205,54,48084.56224,2,Bachelor,Technology,North America,9/30/2021
206,50,58327.17933,4,Bachelor,Entertainment,Australia,11/30/2023
207,68,23678.19739,7,Bachelor,Technology,North America,7/31/2019
208,59,48141.59032,7,High School,Entertainment,Australia,5/31/2019
209,61,31520.62811,9,Master,Finance,North America,5/31/2023
210,41,52178.40166,6,Bachelor,Healthcare,North America,8/31/2022
211,32,53539.99635,2,Bachelor,Education,Asia,5/31/2021
212,49,53490.14537,4,Bachelor,Entertainment,North America,6/30/2021
213,49,42798.16115,9,Bachelor,Technology,Australia,6/30/2018
214,41,84477.03293,3,High School,Entertainment,Asia,9/30/2023
215,58,30979.67733,3,High School,Entertainment,North America,4/30/2021
216,69,30062.81259,9,High School,Technology,Asia,5/31/2021
217,66,74824.67564,3,Master,Technology,South America,9/30/2018
218,66,39435.81304,7,High School,Healthcare,Asia,8/31/2018
219,69,35829.63969,7,High School,Education,South America,8/31/2021
220,29,84543.67847,3,Master,Healthcare,South America,10/31/2022
221,56,64785.84075,4,High School,Healthcare,Asia,7/31/2023
222,19,41083.03178,1,Bachelor,Technology,Australia,1/31/2019
223,20,53262.61859,3,Bachelor,Technology,Australia,7/31/2019
224,66,79188.06927,5,High School,Education,Australia,1/31/2022
225,54,60374.31021,5,Bachelor,Entertainment,Europe,6/30/2020
226,66,69292.22683,6,High School,Healthcare,South America,6/30/2023
227,34,62072.04768,1,Master,Education,Asia,11/30/2022
228,66,63953.80019,6,Bachelor,Healthcare,Australia,5/31/2022
229,19,50596.12544,6,High School,Entertainment,Australia,4/30/2022
230,19,50170.22718,1,High School,Healthcare,Asia,7/31/2020
231,45,54005.75578,3,Bachelor,Finance,South America,3/31/2019
232,40,61016.79211,6,High School,Education,Asia,8/31/2019
233,54,45750.27026,8,High School,Technology,Europe,5/31/2018
